prepare,준비하다
half,절반
bicycle,자전거
year,년
building,건물
score,점수
tea,차
music,음악
poor,가난한
rabbit,토끼
absent,결석한
near,가까운
prison,감옥
sister,자매
energy,에너지
mayor,시장(직위)
pool,수영장
lion,사자
airport,공항
size,크기
stop,멈추다
guess,추측하다
left,왼쪽
science,과학
eleven,열하나
guest,손님
wing,날개
hobby,취미
ketchup,케첩
object,물체
wind,바람
forest,숲
throat,목구멍
yellow,노란색
turn,돌다
pork,돼지고기
dollar,달러
example,예시
result,결과
sleep,자다
hungry,배고픈
same,같은
quiet,조용한
close,닫다
address,주소
salt,소금
learn,배우다
photo,사진
union,결합
neck,목
blood,피
neighbor,이웃
straight,곧은
sale,판매
swing,그네/흔들다
police,경찰
throw,던지다
thank,감사하다
sweet,달콤한
correct,올바른
empty,빈
red,빨간색
spring,봄
wish,소원
tie,묶다
wise,지혜로운
post,우편
leave,떠나다
finish,끝내다
female,여성의
melon,멜론
laugh,웃다
need,필요하다
shade,그늘
pay,지불하다
often,종종
check,확인하다
gather,모으다
list,목록
strange,이상한
shelf,선반
volume,부피/음량
sand,모래
toast,토스트
shell,조개
loose,느슨한
useful,유용한
child,아이
trust,신뢰하다
young,젊은
rope,밧줄
choose,선택하다
ride,타다
jeans,청바지
pear,배
engine,엔진
root,뿌리
medal,메달
treasure,보물
hard,어려운/단단한
lizard,도마뱀
live,살다
mistake,실수
roof,지붕
pilot,조종사
ticket,표
rich,부유한
rice,쌀/밥
room,방
better,더좋은
special,특별한
with,~와함께
truth,진실
service,서비스
coffee,커피
there,거기에
lady,숙녀
well,잘/우물
magazine,잡지
family,가족
pocket,주머니
gift,선물
movie,영화
number,숫자
block,블록/막다
brave,용감한
judge,판사/판단하다
write,쓰다
order,주문하다
shape,모양
nothing,아무것도
understand,이해하다
handle,다루다
picnic,소풍
exit,출구
system,시스템
winner,승자
giraffe,기린
crazy,미친
silver,은
hundred,백
other,다른
pink,분홍색
wait,기다리다
woman,여자
singer,가수
queen,여왕
against,~에반대하여
uncle,삼촌
save,구하다/저축하다
toe,발가락
matter,문제
holiday,휴일
bandage,붕대
top,맨위
potato,감자
noise,소음
vacation,방학/휴가
share,공유하다
speak,말하다
toy,장난감
shark,상어
famous,유명한
question,질문
cheap,값싼
picture,그림
sharp,날카로운
future,미래
rose,장미
tonight,오늘밤
capital,수도/자본
shake,흔들다
almost,거의
glove,장갑
screen,화면
pray,기도하다
pig,돼지
wake,깨다
towel,수건
raise,올리다
spoon,숟가락
west,서쪽
pipe,파이프
tower,탑
traffic,교통
always,항상
new,새로운
read,읽다
already,이미
below,아래에
touch,만지다
plenty,풍부한
clock,시계
real,진짜의
tool,도구
unit,단위
thirsty,목마른
snow,눈
try,시도하다
collect,수집하다
lake,호수
chicken,닭
fruit,과일
around,주위에
busy,바쁜
design,디자인
today,오늘
land,땅
floor,바닥/층
abroad,해외로
chief,우두머리
lamp,램프
pencil,연필
minute,분
doctor,의사
ladder,사다리
until,~까지
sport,스포츠
wall,벽
walk,걷다
reason,이유
thought,생각
ring,반지/울리다
taste,맛
marry,결혼하다
concert,콘서트
ship,배
supply,공급하다
cheese,치즈
leg,다리
beautiful,아름다운
mountain,산
gentle,부드러운
state,상태/주
press,누르다
